,season,team,position,player_id
728,2024,BUF,WR,00-0035527
729,2024,SF,DL,00-0035531
730,2024,NYG,WR,00-0035535
731,2024,BUF,RB,00-0035537
732,2024,SF,DB,00-0035542
733,2024,DET,WR,00-0035544
734,2024,MIA,TE,00-0035547
735,2024,DET,RB,00-0035567
736,2024,DET,TE,00-0035572
737,2024,MIN,OL,00-0035588
738,2024,IND,WR,00-0035593
739,2024,CHI,RB,00-0035594
740,2024,LV,WR,00-0035602
741,2024,LA,LB,00-0035617
742,2024,CHI,WR,00-0035621
743,2024,JAX,OL,00-0035623
744,2024,MIN,WR,00-0035624
745,2024,CLE,DB,00-0035625
746,2024,JAX,RB,00-0035628
747,2024,ARI,OL,00-0035629
748,2024,ATL,OL,00-0035630
749,2024,CIN,TE,00-0035631
750,2024,TEN,DB,00-0035632
751,2024,GB,DB,00-0035633
752,2024,ARI,DL,00-0035636
753,2024,SF,DB,00-0035637
754,2024,PHI,WR,00-0035639
755,2024,SEA,WR,00-0035640
756,2024,JAX,LB,00-0035642
757,2024,TEN,DL,00-0035643
758,2024,SEA,TE,00-0035644
759,2024,NYG,WR,00-0035645
760,2024,NE,LB,00-0035646
761,2024,CHI,DL,00-0035647
762,2024,CHI,OL,00-0035649
763,2024,NO,DB,00-0035655
764,2024,NO,DL,00-0035656
765,2024,WAS,WR,00-0035659
766,2024,KC,WR,00-0035662
767,2024,BUF,DB,00-0035663
768,2024,NYG,DB,00-0035665
769,2024,TB,DL,00-0035667
770,2024,BUF,OL,00-0035668
771,2024,CAR,DB,00-0035669
772,2024,DEN,LB,00-0035672
773,2024,MIN,DL,00-0035674
774,2024,PHI,WR,00-0035676
775,2024,SEA,DL,00-0035678
776,2024,BUF,OL,00-0035679
777,2024,NYJ,LB,00-0035680
778,2024,BUF,DB,00-0035681
779,2024,NYG,DL,00-0035683
780,2024,DET,RB,00-0035685
781,2024,WAS,OL,00-0035686
782,2024,NYG,LB,00-0035687
783,2024,LAC,OL,00-0035688
784,2024,BUF,TE,00-0035689
785,2024,WAS,DL,00-0035692
786,2024,NO,DB,00-0035693
